Pickups	
ID	Name
1	O - The Fool
2	I - The Magician
3	II - The High Priestess
4	III - The Empress
5	IV - The Emperor
6	V - The Hierophant
7	VI - The Lovers
8	VII - The Chariot
9	VIII - Justice
10	IX - The Hermit
11	X - Wheel of Fortune
12	XI - Strength
13	XII - The Hanged Man
14	XIII - Death
15	XIV - Temperance
16	XV - The Devil
17	XVI - The Tower
18	XVII - The Stars
19	XVIII - The Moon
20	XIX - The Sun
21	XX - Judgement
22	XXI - The World
23	2 of Clubs
24	2 of Diamonds
25	2 of Spades
26	2 of Hearts
27	Ace of Clubs
28	Ace of Diamonds
29	Ace of Spades
30	Ace of Hearts
31	The Joker
32	Rune of Hagalaz
33	Rune of Jera
34	Rune of Ehwaz
35	Rune of Dagaz
36	Rune of Ansuz
37	Rune of Perthro
38	Rune of Berkano
39	Rune of Algiz
40	Blank Rune
41	Black Rune
42	Chaos Card
43	Credit Card
44	Rules Card
45	Card Against Humanity
46	Suicide King
47	Get Out Of Jail Free Card
48	? Card
49	Dice Shard
50	Emergency Contact
51	Holy Card
52	Huge Growth
53	Ancient Recall
54	Era Walk
55	Rune Shard
56	O - The Fool?
57	I - The Magician?
58	II - The High Priestess?
59	III - The Empress?
60	IV - The Emperor?
61	V - The Hierophant?
62	VI - The Lovers?
63	VII - The Chariot?
64	VIII - Justice?
65	IX - The Hermit?
66	X - Wheel of Fortune?
67	XI - Strength?
68	XII - The Hanged Man?
69	XIII - Death?
70	XIV - Temperance?
71	XV - The Devil?
72	XVI - The Tower?
73	XVII - The Stars?
74	XVIII - The Moon?
75	XIX - The Sun?
76	XX - Judgement?
77	XXI - The World?
78	Cracked Key
79	Queen of Hearts
80	Wild Card
81	Soul of Isaac
82	Soul of Magdalene
83	Soul of Cain
84	Soul of Judas
85	Soul of ???
86	Soul of Eve
87	Soul of Samson
88	Soul of Azazel
89	Soul of Lazarus
90	Soul of Eden
91	Soul of the Lost
92	Soul of Lilith
93	Soul of the Keeper
94	Soul of Apollyon
95	Soul of the Forgotten
96	Soul of Bethany
97	Soul of Jacob and Esau
