Items,,,
ID,Name,Quality,Type
1,The Sad Onion,3,Passive
2,The Inner Eye,2,"Passive, Tear Modifier"
3,Spoon Bender,3,Passive
4,Cricket's Head,4,Passive
5,My Reflection,2,"Passive, Tear Modifier"
6,Number One,2,Passive
7,Blood of the Martyr,3,Passive
8,Brother Bobby,1,"Passive, Familiar"
9,Skatole,0,Passive
10,Halo of Flies,2,"Passive, Orbital"
11,1UP,2,Passive
12,Magic Mushroom,4,Passive
13,The Virus,2,Passive
14,Roid Rage,2,Passive
15,<3,2,Passive
16,Raw Liver,2,Passive
17,Skeleton Key,3,Passive
18,A Dollar,3,Passive
19,Boom!,0,Passive
20,Transcendence,3,Passive
21,The Compass,2,Passive
22,Lunch,1,Passive
23,Dinner,1,Passive
24,Dessert,1,Passive
25,Breakfast,1,Passive
26,Rotten Meat,1,Passive
27,Wooden Spoon,1,Passive
28,The Belt,1,Passive
29,Mom's Underwear,1,Passive
30,Mom's Heels,1,Passive
31,Mom's Lipstick,1,Passive
32,Wire Coat Hanger,3,Passive
33,The Bible,1,Active
34,The Book of Belial,2,Active
35,The Necronomicon,1,Active
36,The Poop,0,Active
37,Mr. Boom,1,Active
38,Tammy's Head,2,Active
39,Mom's Bra,1,Active
40,Kamikaze,0,Active
41,Mom's Pad,0,Active
42,Bob's Rotten Head,1,Active
44,Teleport,0,Active
45,Yum Heart,1,Active
46,Lucky Foot,2,Passive
47,Doctor's Remote,1,Active
48,Cupid's Arrow,3,Passive
49,Shoop Da Whoop!,2,Active
50,Steven,3,Passive
51,Pentagram,3,Passive
52,Dr. Fetus,4,"Passive, Tear Modifier"
53,Magneto,1,Passive
54,Treasure Map,2,Passive
55,Mom's Eye,1,"Passive, Tear Modifier"
56,Lemon Mishap,0,Active
57,Distant Admiration,2,"Passive, Orbital"
58,Book of Shadows,3,Active
60,The Ladder,1,Passive
62,Charm of the Vampire,1,Passive
63,The Battery,2,Passive
64,Steam Sale,2,Passive
65,Anarchist Cookbook,1,Active
66,The Hourglass,1,Active
67,Sister Maggy,1,"Passive, Familiar"
68,Technology,3,"Passive, Tear Modifier"
69,Chocolate Milk,3,"Passive, Tear Modifier"
70,Growth Hormones,3,Passive
71,Mini Mush,2,Passive
72,Rosary,2,Passive
73,Cube of Meat,2,Passive
74,A Quarter,0,Passive
75,PhD,2,Passive
76,X-Ray Vision,2,Passive
77,My Little Unicorn,1,Active
78,Book of Revelations,3,Active
79,The Mark,3,Passive
80,The Pact,3,Passive
81,Dead Cat,3,Passive
82,Lord of the Pit,3,Passive
83,The Nail,2,Active
84,We Need To Go Deeper,2,Active
85,Deck of Cards,2,Active
86,Monstro's Tooth,1,Active
87,Loki's Horns,1,"Passive, Tear Modifier"
88,Little Chubby,2,"Passive, Familiar"
89,Spider Bite,2,Passive
90,The Small Rock,3,Passive
91,Spelunker Hat,2,Passive
92,Super Bandage,2,Passive
93,The Gamekid,1,Active
94,Sack of Pennies,1,"Passive, Familiar"
95,Robo-Baby,1,"Passive, Familiar"
96,Little C.H.A.D,2,"Passive, Familiar"
97,The Book of Sin,2,Active
98,The Relic,3,"Passive, Familiar"
99,Little Gish,2,"Passive, Familiar"
100,Little Steven,2,"Passive, Familiar"
101,The Halo,2,Passive
102,Mom's Bottle of Pills,1,Active
103,The Common Cold,1,Passive
104,The Parasite,3,Passive
105,The D6,4,Active
106,Mr. Mega,2,Passive
107,Pinking Shears,2,Active
108,The Wafer,4,Passive
109,Money = Power,3,Passive
110,Mom's Contacts,3,Passive
111,The Bean,0,Active
112,Guardian Angel,2,"Passive, Orbital"
113,Demon Baby,2,"Passive, Familiar"
114,Mom's Knife,4,"Passive, Tear Modifier"
115,Ouija Board,2,Passive
116,9 Volt,2,Passive
117,Dead Bird,0,"Passive, Familiar"
118,Brimstone,4,"Passive, Tear Modifier"
119,Blood Bag,2,Passive
120,Odd Mushroom (Thin),2,Passive
121,Odd Mushroom (Large),2,Passive
122,Whore of Babylon,2,Passive
123,Monster Manual,1,Active
124,Dead Sea Scrolls,1,Active
